sourceDomain	sourceId	sourceTerm	certainty	review	omopDomainId	omopConceptId	omopConceptName	usedCount
urn:ordercomms:rtest:textual-result	Citrobacter freundii	Citrobacter freundii	1	1	Meas Value	4269070	Citrobacter freundii	445
urn:ordercomms:rtest:textual-result	Negative for tuberculosis complex	Negative for tuberculosis complex	0.199359231	1	Meas Value	9189	Negative	435
urn:ordercomms:rtest:textual-result	Gram negative bacilli: Scanty.	Gram negative bacilli: Scanty.	0.367544468	1	Meas Value	4336840	Gram-negative bacillus	417
urn:ordercomms:rtest:textual-result	Gram negative bacilli +	Gram negative bacilli +	0.450158585	1	Meas Value	4336840	Gram-negative bacillus	408
urn:ordercomms:rtest:textual-result	Gram negative bacilli ++	Gram negative bacilli ++	0.435923925	1	Meas Value	4336840	Gram-negative bacillus	386
urn:ordercomms:rtest:textual-result	Micrococcus sp.	Micrococcus sp.	0.59175171	1	Meas Value	4199767	Micrococcus	378
urn:ordercomms:rtest:textual-result	Gram negative bacilli +++	Gram negative bacilli +++	0.422649731	1	Meas Value	4336840	Gram-negative bacillus	367
urn:ordercomms:rtest:textual-result	Candida glabrata	Candida glabrata	1	1	Meas Value	40481156	Candida glabrata	366
urn:ordercomms:rtest:textual-result	Escherichia coli O157	Escherichia coli O157	0.622035527	1	Meas Value	4011683	Escherichia coli	366
urn:ordercomms:rtest:textual-result	Streptococcus mitis/oralis	Streptococcus mitis/oralis	0.484921246	1	Meas Value	4133816	Streptococcus mitis group	330
urn:ordercomms:rtest:textual-result	Propionibacterium sp.	Propionibacterium sp.	0.666666667	1	Meas Value	4144074	Propionibacterium	320
urn:ordercomms:rtest:textual-result	Aspergillus niger	Aspergillus niger	1	1	Meas Value	4231112	Aspergillus niger	312
urn:ordercomms:rtest:textual-result	Bacteroides fragilis	Bacteroides fragilis	1	1	Meas Value	4208525	Bacteroides fragilis	306
urn:ordercomms:rtest:textual-result	Streptococcus anginosus	Streptococcus anginosus	1	1	Meas Value	4185892	Streptococcus anginosus	299
urn:ordercomms:rtest:textual-result	Acinetobacter baumanii	Acinetobacter baumanii	0.65900283	1	Meas Value	4235587	Acinetobacter baumannii	290
urn:ordercomms:rtest:textual-result	Streptococcus mitis	Streptococcus mitis	1	1	Meas Value	4237427	Streptococcus mitis	287
urn:ordercomms:rtest:textual-result	Citrobacter koseri	Citrobacter koseri	1	1	Meas Value	4016448	Citrobacter koseri	275
urn:ordercomms:rtest:textual-result	Staphylococcus haemolyticus	Staphylococcus haemolyticus	1	1	Meas Value	4308865	Staphylococcus haemolyticus	270
urn:ordercomms:rtest:textual-result	Staphylococcus capitis	Staphylococcus capitis	1	1	Meas Value	4222739	Staphylococcus capitis	264
urn:ordercomms:rtest:textual-result	Enterobacter aerogenes	Enterobacter aerogenes	0.440983006	1	Meas Value	4242438	Enterobacter	258
urn:ordercomms:rtest:textual-result	Positive for tuberculosis complex	Positive for tuberculosis complex	0.32063378	1	Meas Value	4035081	Mycobacterium tuberculosis complex	237
urn:ordercomms:rtest:textual-result	Unidentified Gram neg bacillus	Unidentified Gram neg bacillus	0.166666667	1	Meas Value	4336840	Gram-negative bacillus	234
urn:ordercomms:rtest:textual-result	Gram positive cocci	Gram positive cocci	0.454750243	1	Meas Value	4241096	Gram-positive coccus	227
urn:ordercomms:rtest:textual-result	Mycobacterium tuberculosis	Mycobacterium tuberculosis	1	1	Meas Value	4034215	Mycobacterium tuberculosis	224
urn:ordercomms:rtest:textual-result	Streptococcus oralis	Streptococcus oralis	1	1	Meas Value	4057957	Streptococcus oralis	219
urn:ordercomms:rtest:textual-result	Streptococcus sanguinis	Streptococcus sanguinis	1	1	Meas Value	4015549	Streptococcus sanguinis	217
urn:ordercomms:rtest:textual-result	Scopulariopsis brevicaulis	Scopulariopsis brevicaulis	1	1	Meas Value	4138373	Scopulariopsis brevicaulis	214
urn:ordercomms:rtest:textual-result	Prevotella sp.	Prevotella sp.	0.573598567	1	Meas Value	4015682	Prevotella	214
urn:ordercomms:rtest:textual-result	Antigen NOT detected (by ELISA)	Antigen NOT detected (by ELISA)	0.267480126	1	Meas Value	9190	Not detected	207
urn:ordercomms:rtest:textual-result	Trichomonas vaginalis SEEN	Trichomonas vaginalis SEEN	0.666666667	1	Meas Value	4330317	Trichomonas vaginalis	204
urn:ordercomms:rtest:textual-result	Aspergillus sp.	Aspergillus sp.	0.59175171	1	Meas Value	4085138	Aspergillus	197
urn:ordercomms:rtest:textual-result	Streptococcus (beta) sp.	Streptococcus (beta) sp.	0.439388089	1	Meas Value	4240344	Streptococcus	187
urn:ordercomms:rtest:textual-result	Corynebacterium striatum	Corynebacterium striatum	1	1	Meas Value	4274350	Corynebacterium striatum	186
urn:ordercomms:rtest:textual-result	Acinetobacter sp.	Acinetobacter sp.	0.622035527	1	Meas Value	4300777	Acinetobacter	185
urn:ordercomms:rtest:textual-result	Pasteurella multocida	Pasteurella multocida	1	1	Meas Value	4032583	Pasteurella multocida	177
urn:ordercomms:rtest:textual-result	Staphylococcus hominis	Staphylococcus hominis	1	1	Meas Value	4264368	Staphylococcus hominis	177
urn:ordercomms:rtest:textual-result	Carbapenemase producing organism not detected.	Carbapenemase producing organism not detected.	0.187156666	1	Meas Value	9190	Not detected	173
urn:ordercomms:rtest:textual-result	Streptococcus constellatus	Streptococcus constellatus	1	1	Meas Value	4294519	Streptococcus constellatus	170
urn:ordercomms:rtest:textual-result	"Gram positive bacilli, scanty"	"Gram positive bacilli, scanty"	0.377300151	1	Meas Value	4306758	Gram-positive bacillus	170
urn:ordercomms:rtest:textual-result	Streptococcus salivarius	Streptococcus salivarius	1	1	Meas Value	4220801	Streptococcus salivarius	167
urn:ordercomms:rtest:textual-result	Neisseria meningitidis	Neisseria meningitidis	1	1	Meas Value	4076436	Neisseria meningitidis	162
urn:ordercomms:rtest:textual-result	Salmonella typhimurium	Salmonella typhimurium	1	1	Meas Value	4177156	Salmonella Typhimurium	157
urn:ordercomms:rtest:textual-result	Clostridium perfringens	Clostridium perfringens	1	1	Meas Value	4307974	Clostridium perfringens	156
urn:ordercomms:rtest:textual-result	Large numbers	Large numbers	0.292893219	1	Meas Value	4125547	+++	150
urn:ordercomms:rtest:textual-result	Staphylococcus warneri	Staphylococcus warneri	1	1	Meas Value	4270057	Staphylococcus warneri	147
urn:ordercomms:rtest:textual-result	Staphylococcus lugdunensis	Staphylococcus lugdunensis	1	1	Meas Value	4014324	Staphylococcus lugdunensis	144
urn:ordercomms:rtest:textual-result	Gram positive bacilli +	Gram positive bacilli +	0.450158585	1	Meas Value	4306758	Gram-positive bacillus	144
urn:ordercomms:rtest:textual-result	Mycobacterium avium complex	Mycobacterium avium complex	0.601137982	1	Meas Value	4308737	Mycobacterium avium	143
urn:ordercomms:rtest:textual-result	No neutrophils seen	No neutrophils seen	0.105572809	1	Meas Value	9190	Not detected	143
urn:ordercomms:rtest:textual-result	Streptococcus gallolyticus	Streptococcus gallolyticus	1	1	Meas Value	4015114	Streptococcus gallolyticus	141
urn:ordercomms:rtest:textual-result	Entamoeba coli cysts	Entamoeba coli cysts	0.835601013	1	Meas Value	44783336	Entamoeba coli cyst	140
urn:ordercomms:rtest:textual-result	Salmonella enteritidis	Salmonella enteritidis	1	1	Meas Value	4249155	Salmonella Enteritidis	134
urn:ordercomms:rtest:textual-result	Aspergillus flavus	Aspergillus flavus	1	1	Meas Value	4281672	Aspergillus flavus	129
urn:ordercomms:rtest:textual-result	Pseudomonas putida	Pseudomonas putida	1	1	Meas Value	4285455	Pseudomonas putida	128
urn:ordercomms:rtest:textual-result	Vincent's organisms NOT seen	Vincent's organisms NOT seen	0.177521679	1	Meas Value	9190	Not detected	128
urn:ordercomms:rtest:textual-result	Fusarium sp.	Fusarium sp.	0.528595479	1	Meas Value	4148080	Fusarium	127
urn:ordercomms:rtest:textual-result	Enterobacter cloacae Group	Enterobacter cloacae Group	0.630725527	1	Meas Value	4030716	Enterobacter cloacae	126
urn:ordercomms:rtest:textual-result	Candida parapsilosis	Candida parapsilosis	1	1	Meas Value	4247544	Candida parapsilosis	122
urn:ordercomms:rtest:textual-result	Streptococcus intermedius	Streptococcus intermedius	1	1	Meas Value	4268740	Streptococcus intermedius	121
urn:ordercomms:rtest:textual-result	Shigella sonnei	Shigella sonnei	1	1	Meas Value	4249112	Shigella sonnei	120
urn:ordercomms:rtest:textual-result	Serratia liquefaciens	Serratia liquefaciens	1	1	Meas Value	4028952	Serratia liquefaciens	119
urn:ordercomms:rtest:textual-result	Streptococcus parasanguinis	Streptococcus parasanguinis	1	1	Meas Value	4015548	Streptococcus parasanguinis	110
urn:ordercomms:rtest:textual-result	Candida dubliniensis	Candida dubliniensis	1	1	Meas Value	4018997	Candida dubliniensis	104
urn:ordercomms:rtest:textual-result	Acinetobacter lwoffii	Acinetobacter lwoffii	0.839871846	1	Meas Value	4307075	Acinetobacter lwoffi	104
urn:ordercomms:rtest:textual-result	Gram negative bacilli	Gram negative bacilli	0.48203023	1	Meas Value	4336840	Gram-negative bacillus	103
urn:ordercomms:rtest:textual-result	Gram positive bacilli ++	Gram positive bacilli ++	0.435923925	1	Meas Value	4306758	Gram-positive bacillus	101
